h	count
01	410
02	241
03	316
04	746
05	2154
06	5614
07	9136
08	7930
09	5820
10	5172
11	5696
12	5603
13	5247
14	5259
15	5682
16	6672
17	7666
18	7784
19	6563
20	4090
21	2982
22	2474
23	1811
24	813
