h	count
01	126
02	108
03	81
04	130
05	211
06	613
07	850
08	891
09	863
10	922
11	1230
12	1335
13	1012
14	920
15	978
16	1340
17	1546
18	1770
19	1341
20	690
21	406
22	456
23	419
24	336
