grid_id,xmin,ymin,xmax,ymax,number_of_users,avg_rg,stddev_rg,mediana_rg
55,10.3607205311423,43.6729158540725,10.3787069632607,43.6909022861909,10,21364.2079618400527,25559.28621002899744557090657469,7161.02391779373
30,10.3247476669055,43.5829836934807,10.3427340990239,43.600970125599,4,37050.141992366157,30492.828535278471820797729523,60588.44405562052
10,10.2887748026688,43.5829836934807,10.3067612347872,43.600970125599,5,38200.157147915527,30554.441253678270257892257311,51118.74102573853
69,10.3787069632606,43.744861582546,10.396693395379,43.7628480146644,6,14950.242146558766,22601.560486836369918457925171,6975.092528545984
86,10.4146798274974,43.6909022861909,10.4326662596158,43.7088887183093,58,20612.5740299120536,21684.88290111334351073550579515,11396.70783352227
93,10.4326662596158,43.6369429898358,10.4506526917341,43.6549294219542,1,13128.9115376790410000,0,13128.911537679041
98,10.4326662596158,43.7268751504277,10.4506526917341,43.744861582546,0,0,0,0
50,10.3607205311423,43.5829836934807,10.3787069632607,43.600970125599,2,5421.5371939560115000,20.191126428531443187917890,5435.814476373421
26,10.3067612347872,43.6909022861909,10.3247476669055,43.7088887183093,0,0,0,0
39,10.3247476669055,43.744861582546,10.3427340990239,43.7628480146644,1,3248.2240557779000000,0,3248.2240557779
76,10.396693395379,43.6909022861909,10.4146798274974,43.7088887183093,97,21019.8917611438274,25908.45417663685627315206421403,11075.138429963656
94,10.4326662596158,43.6549294219542,10.4506526917341,43.6729158540725,25,29010.5805455299269,22947.54284035687209841370071159,26115.22176262657
36,10.3247476669055,43.6909022861909,10.3427340990239,43.7088887183093,0,0,0,0
6,10.2707883705504,43.6909022861909,10.2887748026688,43.7088887183093,0,0,0,0
106,10.4506526917341,43.6909022861909,10.4686391238525,43.7088887183093,30,17128.6180799246099,20647.08895543957962995862184713,7780.437486247319
56,10.3607205311423,43.6909022861909,10.3787069632607,43.7088887183093,11,18655.1104574473039,26924.17531895493804931188043285,4513.304345343353
7,10.2707883705504,43.7088887183093,10.2887748026688,43.7268751504277,0,0,0,0
18,10.2887748026688,43.7268751504277,10.3067612347872,43.744861582546,0,0,0,0
5,10.2707883705504,43.6729158540725,10.2887748026688,43.6909022861909,5,24189.699154926368,20763.076162585506491964392705,22110.906098985113
71,10.396693395379,43.600970125599,10.4146798274974,43.6189565577174,2,36634.687424690198,44285.717747936023523734244065,67949.4187539692
2,10.2707883705504,43.6189565577174,10.2887748026688,43.6369429898358,0,0,0,0
81,10.4146798274974,43.600970125599,10.4326662596158,43.6189565577174,1,19272.4206704420000000,0,19272.420670442
59,10.3607205311423,43.744861582546,10.3787069632607,43.7628480146644,14,15529.7876582303378,15102.97073131435383527686120520,9450.976406312673
99,10.4326662596158,43.744861582546,10.4506526917341,43.7628480146644,16,20628.1021231461106,29354.97611808283415891900760263,8426.419851595498
109,10.4506526917341,43.744861582546,10.4686391238525,43.7628480146644,13,17265.4640181377907,24953.50892749980965266366379793,6189.211262637248
40,10.3427340990239,43.5829836934807,10.3607205311423,43.600970125599,22,20813.3969931883032,20042.55369767983774647627557711,11738.528800072248
28,10.3067612347872,43.7268751504277,10.3247476669055,43.744861582546,0,0,0,0
54,10.3607205311423,43.6549294219542,10.3787069632607,43.6729158540725,1,52867.482957421760,0,52867.48295742176
108,10.4506526917341,43.7268751504277,10.4686391238525,43.744861582546,0,0,0,0
103,10.4506526917341,43.6369429898358,10.4686391238525,43.6549294219542,0,0,0,0
57,10.3607205311423,43.7088887183093,10.3787069632607,43.7268751504277,30,14620.3221995156102,14994.09159998497716869481065018,8648.946869059626
83,10.4146798274974,43.6369429898358,10.4326662596158,43.6549294219542,0,0,0,0
97,10.4326662596158,43.7088887183093,10.4506526917341,43.7268751504277,33,19295.1204804505817,26078.37642862175178349603563410,7934.481238203361
100,10.4506526917341,43.5829836934807,10.4686391238525,43.600970125599,5,9720.4230039808096000,5890.265058601427184667634632,6307.546684487896
41,10.3427340990239,43.600970125599,10.3607205311423,43.6189565577174,2,43061.435679262036,46514.316250997971909108822964,75952.02412259833
17,10.2887748026688,43.7088887183093,10.3067612347872,43.7268751504277,0,0,0,0
79,10.396693395379,43.744861582546,10.4146798274974,43.7628480146644,6,8638.8913286699340833,6144.02812651370472631166874878,7334.419262113126
80,10.4146798274974,43.5829836934807,10.4326662596158,43.600970125599,0,0,0,0
67,10.3787069632606,43.7088887183093,10.396693395379,43.7268751504277,59,23112.9172961308898,24980.31286161647525070034280050,11552.566818668409
82,10.4146798274974,43.6189565577174,10.4326662596158,43.6369429898358,0,0,0,0
31,10.3247476669055,43.600970125599,10.3427340990239,43.6189565577174,0,0,0,0
