h	count
01	49
02	87
03	325
04	730
05	1634
06	1447
07	899
08	790
09	737
10	760
11	898
12	870
13	707
14	729
15	820
16	785
17	772
18	575
19	386
20	277
21	219
22	136
23	60
24	48
