h	count
01	32
02	58
03	86
04	264
05	490
06	654
07	554
08	596
09	768
10	952
11	1072
12	1054
13	943
14	1023
15	1198
16	1347
17	1208
18	815
19	457
20	385
21	411
22	310
23	144
24	76
